siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 19:00",0.19
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 19:00",0.5
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 19:00",5
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 19:00",4
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 19:00",11
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 19:00",5
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 19:00",0.19
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 19:00",0.5
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 18:00",5
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 18:00",6
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 18:00",12
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 18:00",8
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 18:00",0.21
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 18:00",0.9
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 18:00",5
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 18:00",6
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 18:00",12
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 18:00",8
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 18:00",0.21
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 18:00",0.9
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 17:00",5
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 17:00",5
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 17:00",40
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 17:00",10
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 17:00",0.2
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 17:00",0.7
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 17:00",5
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 17:00",5
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 17:00",40
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 17:00",10
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 17:00",0.2
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 17:00",0.7
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 16:00",4
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 16:00",2
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 16:00",11
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 16:00",15
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 16:00",0.11
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 16:00",0
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 16:00",4
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 16:00",2
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 16:00",11
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 16:00",15
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 16:00",0.11
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 16:00",0
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 15:00",2
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 15:00",2
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 15:00",11
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 15:00",20
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 15:00",0.08
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 15:00",0
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 15:00",2
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 15:00",2
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 15:00",11
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 15:00",20
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 15:00",0.08
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 15:00",0
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 14:00",4
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 14:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 14:00",14
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 14:00",26
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 14:00",0.09
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 14:00",0
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 14:00",4
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 14:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 14:00",14
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 14:00",26
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 14:00",0.09
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 14:00",0
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 13:00",3
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 13:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 13:00",8
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 13:00",24
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 13:00",0.09
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 13:00",0
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 13:00",3
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 13:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 13:00",8
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 13:00",24
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 13:00",0.09
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 13:00",0
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 12:00",0
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 12:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 12:00",6
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 12:00",23
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 12:00",0.1
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 12:00",0
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 12:00",0
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 12:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 12:00",6
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 12:00",23
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 12:00",0.1
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 12:00",0
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 11:00",2
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 11:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 11:00",9
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 11:00",17
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 11:00",0.09
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 11:00",0
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 11:00",2
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 11:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 11:00",9
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 11:00",17
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 11:00",0.09
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 11:00",0
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 10:00",1
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 10:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 10:00",8
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 10:00",12
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 10:00",0.08
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 10:00",0
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 10:00",1
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 10:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 10:00",8
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 10:00",12
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 10:00",0.08
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 10:00",0
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 09:00",3
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 09:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 09:00",12
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 09:00",10
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 09:00",0.08
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 09:00",0.2
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 09:00",3
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 09:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 09:00",12
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 09:00",10
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 09:00",0.08
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 09:00",0.2
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 08:00",7
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 08:00",2
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 08:00",16
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 08:00",8
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 08:00",0.12
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 08:00",0.4
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 08:00",7
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 08:00",2
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 08:00",16
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 08:00",8
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 08:00",0.12
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 08:00",0.4
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 07:00",7
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 07:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 07:00",9
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 07:00",5
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 07:00",0.13
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 07:00",0.3
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 07:00",7
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 07:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 07:00",9
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 07:00",5
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 07:00",0.13
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 07:00",0.3
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 06:00",4
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 06:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 06:00",10
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 06:00",3
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 06:00",0.1
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 06:00",0.3
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 06:00",4
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 06:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 06:00",10
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 06:00",3
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 06:00",0.1
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 06:00",0.3
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 05:00",4
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 05:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 05:00",6
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 05:00",3
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 05:00",0.08
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 05:00",0.3
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 05:00",4
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 05:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 05:00",6
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 05:00",3
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 05:00",0.08
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 05:00",0.3
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 04:00",6
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 04:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 04:00",8
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 04:00",3
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 04:00",0.08
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 04:00",0.2
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 04:00",6
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 04:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 04:00",8
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 04:00",3
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 04:00",0.08
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 04:00",0.2
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 03:00",4
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 03:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 03:00",8
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 03:00",4
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 03:00",0.08
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 03:00",0.2
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 03:00",4
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 03:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 03:00",8
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 03:00",4
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 03:00",0.08
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 03:00",0.2
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 02:00",6
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 02:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 02:00",10
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 02:00",4
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 02:00",0.08
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 02:00",0.2
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 02:00",6
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 02:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 02:00",10
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 02:00",4
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 02:00",0.08
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 02:00",0.2
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 01:00",7
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 01:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 01:00",13
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 01:00",4
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 01:00",0.08
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 01:00",0.2
63,花蓮,花蓮縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-08-26 01:00",7
63,花蓮,花蓮縣,7,二氧化氮,NO2,ppb,"2025-08-26 01:00",1
63,花蓮,花蓮縣,4,懸浮微粒,PM10,μg/m3,"2025-08-26 01:00",13
63,花蓮,花蓮縣,3,臭氧,O3,ppb,"2025-08-26 01:00",4
63,花蓮,花蓮縣,2,一氧化碳,CO,ppm,"2025-08-26 01:00",0.08
63,花蓮,花蓮縣,1,二氧化硫,SO2,ppb,"2025-08-26 01:00",0.2
